ID,PageNo.,DocName,Year,Coordinator,Prof,Student Name,Neighborhood,Borough,Address,oldLat,oldLong,Latitude,Longitude,DocLink,DocType,Tags
0001,008,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1974,MAX BOND,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,"LUIGI DIFAZIO, WILLIAM MILLKEY & RALPH ROE",HARLEM,MANHATTAN,"HARLEM, MANHATTAN",40.8116,-73.9465,40.8171,-73.9427,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_008.jpg,,"GOV. AGENCY PARTNERSHIP, TYPOLOGY, GRAPPLING WITH GENERIC, SHORT, LOW RISE HIGH DENSITY, SHARED SITE, SITE ANALYSIS"
0002,009,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1974,MAX BOND,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,RICHARD SHECKMAN & DANIEL WILSON,QUEENS ,MANHATTAN,"QUEENS , MANHATTAN",40.7831,-73.9712,40.7880,-73.9666,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_009.jpg,,"GOV. AGENCY PARTNERSHIP, TYPOLOGY, GRAPPLING WITH GENERIC, SHORT, LOW RISE HIGH DENSITY, SHARED SITE, SITE ANALYSIS"
0003,010,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1974,MAX BOND,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,"GERAL-EMILIE BRUN, GERALD LEWIS & PETER MARANGONI",HARLEM,MANHATTAN,"HARLEM, MANHATTAN",40.8116,-73.9465,40.8169,-73.9424,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_010.jpg,,"GOV. AGENCY PARTNERSHIP, TYPOLOGY, GRAPPLING WITH GENERIC, SHORT, LOW RISE HIGH DENSITY, SHARED SITE, SITE ANALYSIS"
0004,011,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1974,MAX BOND,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,ALLAN CYTRYN & JAMES DIMARIA ,QUEENS ,MANHATTAN,"QUEENS , MANHATTAN",40.7831,-73.9712,40.7882,-73.9699,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_011.jpg,,"GOV. AGENCY PARTNERSHIP, TYPOLOGY, GRAPPLING WITH GENERIC, SHORT, LOW RISE HIGH DENSITY, SHARED SITE, SITE ANALYSIS"
0005,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0006,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0007,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0008,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0009,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0010,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0011,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0012,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0013,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0014,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0015,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0016,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0017,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
0018,,,1974,,MAX BOND; Arthur Bye; Ghislaine Hermanuz; Anthony Pangaro; Raquel Ramati; Sue Rodgers; Timothy Wood; Elia Zenghelis,,,,,,,,,,,
