PageNo.,DocName,Year,Prof,Student Name,Neighborhood,Borough,Address,Loc,Latitude,Longitude,DocLink,DocType,Tags
014,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1978,MAX BOND,,PARK SLOPE,BROOKLYN,"PARK SLOPE, BROOKLYN","-73.9814227999999, 40.6710672",40.6710672,-73.9814228,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_014.jpg,,TYPE; MEWS BLOCK; COMMERCIAL
018,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1979,MAX BOND,,EAST HARLEM,MANHATTAN,"EAST HARLEM, MANHATTAN","-73.9389212999999, 40.7957399",40.7957399,-73.9389213,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_018.jpg,,TYPE; MEWS BLOCK; PLANNING; RENEWAL
019,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1979,KENNETH FRAMPTON,,BROWNSVILLE,BROOKLYN,"BROWNSVILLE, BROOKLYN","-73.9125304, 40.665214",40.665214,-73.9125304,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_019.jpg,,TYPE; PERIMETER BLOCK; UDC
020,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1979,MICHAEL MOSTOLLER,,RAVENSWOOD,QUEENS,"RAVENSWOOD, QUEENS","-73.9234618999999, 40.7643574",40.7643574,-73.9234619,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_020.jpg,,TYPE; SUPER BLOCK; GARDEN; GARDEN APARTMENT
021,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1979,LAURETTA VINCIARELLI,,ASTORIA,QUEENS,"ASTORIA, QUEENS","-73.9234618999999, 40.7643574",40.7643574,-73.9234619,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_021.jpg,,TYPE; CARPET BLOCK; LOW RISE 
022,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1980,MICHAEL MOSTOLLER,,LOWER EAST SIDE,MANHATTAN,"LOWER EAST SIDE, MANHATTAN","-73.9842724, 40.715033",40.715033,-73.9842724,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_022.jpg,,TYPE; PERIMETER BLOCK; GARDEN APARTMENT; GARDEN
023,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1980,T. MERRILL PRENTICE JR.,,UPPER WEST SIDE,MANHATTAN,"UPPER WEST SIDE, MANHATTAN","-73.9753676, 40.7870106",40.7870106,-73.9753676,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_023.jpg,,
024,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1980,LAURETTA VINCIARELLI,,,QUEENS,", QUEENS","-73.7948516, 40.7282239",40.7282239,-73.7948516,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_024.jpg,,
025,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1980,TIMOTHY WOOD,,LOWER EAST SIDE,MANHATTAN,"LOWER EAST SIDE, MANHATTAN","-73.9842724, 40.715033",40.715033,-73.9842724,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_025.jpg,,
026,GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_,1981,MICHAEL MOSTOLLER & MICHAEL KAGAN,,MORNINGSIDE HIEGHTS,MANHATTAN,"MORNINGSIDE HIEGHTS, MANHATTAN","-73.9620581, 40.8105443",40.8105443,-73.9620581,./pages/GSAPP_Exhibition-HousingStudios1974-2014_CompleteBooklet_Page_026.jpg,,
